id,title,risk_level,stock_adjustment,"Published At"
46,"Kopiko Cappuccino Candy 120g $2.29 + Delivery ($0 with Prime/ $59 Spend) @ Amazon AU",Medium,NULL,2025-01-06
47,"The best coffee concentrates, tested and reviewed",Medium,NULL,2024-12-19
48,"The Invisible Tsunami Kids",Medium,NULL,2024-12-29
49,"Caffeinated Gifts for the Java Lover on Your List",Medium,NULL,2024-12-16
50,"Weekly Coffee News: Comment on Prices + Sustainability Award Nominations",Medium,NULL,2024-12-20
51,"Rain in Brazil Pressures Coffee Prices",Low,50,2024-12-31
52,"Husband and wife open dream South Indian cafe in Toronto",Medium,0,2024-12-29
53,"Volunteers clean up Bali's beach from "worst" monsoon-driven trash",Medium,NULL,2025-01-04
54,"USDA sees world coffee output rise a tad at 174.9 million bags of 60 kg each",Medium,NULL,2024-12-20
55,"20 Places That Changed Us: The Most Transformative Trips the Matador Team Has Taken",Low,NULL,2025-01-01
56,"Starbucks Just Introduced An 8-Ounce Cortado",Low,NULL,2025-01-07
57,"Below-Average Rainfall in Brazil Supports Coffee Prices",Medium,0,2024-12-16
58,"Coffee Prices Close Higher on Dry Conditions in Brazil",Low,50,2024-12-16
59,"Coffee Prices Slip as Rain in Brazil Eases Drought Concerns",Medium,0,2024-12-30
60,"Coffee Prices Fall as Brazil Drought Concerns Ease",Low,50,2024-12-31
61,"Global food prices are entering very dangerous territory",Medium,NULL,2024-12-13
62,"3 Ways To Explore Cartagena, Colombia’s Hub For Caribbean Culture",Medium,0,2024-12-15
63,"Quit Your Job And Live Abroad: 11 Places So Affordable You Might Not Need To Work",Low,NULL,2025-01-01
64,"10 Winter Solstice Celebrations From Around the World",Low,NULL,2024-12-18
65,"Midwest Brewery Helps Launch 20 Beverage Brands",Medium,NULL,2024-12-22
66,"Are Ultra-Processed Foods Killing Us?",Medium,NULL,2025-01-06
67,"Coffee Prices Jump as Heavy Rain in Vietnam Delays the Robusta Coffee Harvest",Low,40,2025-01-02
68,"9 Space Images from NASA and Beyond That Stunned in 2024",Low,NULL,2024-12-19
69,"The Waves That Changed Us: 20 years since the Asian tsunami",Low,NULL,2024-12-26
70,"Weathering the Market: Why Climate Data Is the Future of Commodity Trading",Medium,NULL,2024-12-26
71,"City Guide: Bologna, Italy According To The Best Tour Guides",Medium,0,2024-12-20
72,"Christ the Redeemer caught in battle between church and state...",Low,NULL,2024-12-25
73,"Em Coffee House Brings Modern Vietnam to San Diego",Low,40,2024-12-18
74,"Global Food Prices Are Entering Very Dangerous Territory",Medium,NULL,2024-12-13
75,"Bolivia, Peru Single Origins, 1kg from $27.90 + Delivery ($0 with $69 Order, $0 C&C, Delayed Disp Avail) @ Lime Blue Coffee",Medium,0,2025-01-08
76,"Torpedo juice: Legendary, illegal WWII liquor drunk in Alaska and the world",Medium,NULL,2024-12-17
77,[Removed],Low,NULL,2025-01-08
78,"Coffee Prices Settle Mixed as Arabica Supported by Dryness in Brazil",Low,50,2024-12-18
79,"Vietnam, IDH and JDE Peet’s Partner in Landmark EUDR Database Project",Low,40,2024-12-19
80,"Pony Coffee Gallops Into Tulsa with First Cafe",Medium,NULL,2025-01-09
81,"My Essential Christmas Dessert Is Flan",Medium,NULL,2024-12-18
82,"Starbucks debuts Cortados for first time: See 2025 winter drink menu",Medium,NULL,2025-01-02
83,"10 New Countries I Hope To Visit In 2025",Medium,NULL,2025-01-02
84,"Beneath the canopy: The economic and environmental impact of shade-grown coffee in India",Low,60,2024-12-21
85,"Beneath the canopy: The economic and environmental impact of shade-grown coffee in India",Low,60,2024-12-15
86,"Indian coffee gains from surging trend in global prices, outlook seen bright",Medium,0,2024-12-30
87,"Review: Garuda Indonesia International Lounge Jakarta (CGK)",Medium,0,2025-01-06
88,"Best of ‘Three Questions’ 2024: Conversations with Coffee Leaders",Medium,NULL,2024-12-24
89,"What is the food of brazil?",Low,50,2025-01-07
90,"Individual and community-level determinants of knowledge of obstetric danger signs among women in Southern Ethiopia: A multi-level mixed effect negative binomial analysis",Medium,0,2025-01-06
91,"Ipoh folk expect more visitors next year",Low,NULL,2024-12-30
92,"Review: Plaza Premium Lounge Jakarta (CGK)",Medium,NULL,2025-01-06
93,"Monday: Hili dialogue",Low,NULL,2025-01-06
94,"The end is nigh and here's why",Low,NULL,2024-12-18
95,"Canopy House: The Brazilian Jungle Home That Touches the Sky",Medium,0,2025-01-01
96,"S. Korea President, Texas Lawsuit Over Abortion Pills, Coffee Prices Soar",Medium,0,2024-12-14
97,"The Glaring Hypocrisy and Embedded Deceptions of the Global Food Giants",Medium,NULL,2024-12-29
98,"25 New Coffee Roasters to Support in 2025",Medium,NULL,2024-12-30
99,"China, Vietnam and Hong Kong may spring surprises in 2025",Medium,0,2024-12-24
100,"Bold Deal Turns Out To Be Major Boon For Bill Heinecke’s Minor International",Low,NULL,2024-12-13
