title,description,content,publishedAt,source,url
Global Crossing Airlines Announces Director Resignation,"MIAMI, Dec. 11, 2024 (GLOBE NEWSWIRE) — Global Crossing Airlines Group, Inc. (Cboe CA: JET, Cboe CA: JET.B, OTCQB: JETMF) (the “Company” or “GlobalX”), the Nation’s fastest growing charter airline, today announced that Mr. Paul Martins has tendered his resign…","Author of the article:
Article content
MIAMI, Dec. 11, 2024 (GLOBE NEWSWIRE) Global Crossing Airlines Group, Inc. (Cboe CA: JET, Cboe CA: JET.B, OTCQB: JETMF) (the Company or GlobalX), the Nations … [+8760 chars]",2024-12-11T12:33:00Z,Financial Post,https://financialpost.com/globe-newswire/global-crossing-airlines-announces-director-resignation
Global Crossing Airlines Announces Director Resignation,"MIAMI, Dec. 11, 2024 (GLOBE NEWSWIRE) -- Global Crossing Airlines Group, Inc. (Cboe CA: JET, Cboe CA: JET.B, OTCQB: JETMF) (the “Company” or “GlobalX”), the Nation's fastest growing charter airline, today announced that Mr. Paul Martins has tendered his resig…","MIAMI, Dec. 11, 2024 (GLOBE NEWSWIRE) -- Global Crossing Airlines Group, Inc. (Cboe CA: JET, Cboe CA: JET.B, OTCQB: JETMF) (the Company or GlobalX), the Nation's fastest growing charter airline, toda… [+5961 chars]",2024-12-11T12:30:00Z,GlobeNewswire,https://www.globenewswire.com/news-release/2024/12/11/2995298/0/en/Global-Crossing-Airlines-Announces-Director-Resignation.html
Operation Digital Eye: China-linked relies on Visual Studio Code Remote Tunnels to spy on Europen entities,"An alleged China-linked APT group targeted large business-to-business IT service providers in Southern Europe as part of Operation Digital Eye campaign. Between late June and mid-July 2024, a China-linked threat actor targeted major IT service providers in So…","Operation Digital Eye: China-linked relies on Visual Studio Code Remote Tunnels to spy on Europen entities
 | Chinese national charged for hacking thousands of Sophos firewalls
 | Cybercriminals Im… [+122708 chars]",2024-12-11T12:17:43Z,Securityaffairs.com,https://securityaffairs.com/171879/apt/operation-digital-china-apt-targets-europe.html
Octapharma Injects Efficiency Into Its Supply Chain With Kinaxis,"Global healthcare company will streamline operations and achieve end-to-end supply chain orchestration OTTAWA, Ontario — Octapharma, the largest privately owned company dedicated to the research and development of life-saving or life-altering therapies, has s…","Global healthcare company will streamline operations and achieve end-to-end supply chain orchestration
OTTAWA, Ontario Octapharma, the largest privately owned company dedicated to the research and d… [+2970 chars]",2024-12-11T12:06:28Z,Financial Post,https://financialpost.com/pmn/business-wire-news-releases-pmn/octapharma-injects-efficiency-into-its-supply-chain-with-kinaxis
Thyssenkrupp Steel: The next battleground to save German industrial jobs,"Germany's largest steel company is planning to cut thousands of jobs and close one plant in the latest painful overhaul of a German industrial giant. Workers have vowed fierce resistance to the restructuring plan. ""It breaks my heart! You can't treat people t…","""It breaks my heart! You can't treat people this way. We've worked so hard for Thyssenkrupp,"" said Helmut Renk, the 62-year-old works council chairman of the steelmaker's facility in Kreuztal-Eichen,… [+5183 chars]",2024-12-11T08:53:00Z,DW (English),https://www.dw.com/en/thyssenkrupp-steel-the-next-battleground-to-save-german-industrial-jobs/a-71017097
"War and disruption should be avoided, global priority to restore normalcy: FM Sitharaman","Finance Minister Nirmala Sitharaman said it has led to supply chain disruptions, and inflation is the biggest challenge globally",Union Finance Minister Nirmala Sitharaman on Wednesday underlined the need to restore normalcy in the world and highlighted the cost of war that has caused supply chain disruptions and higher inflati… [+2325 chars],2024-12-11T07:29:03Z,Business Today,https://www.businesstoday.in/latest/economy/story/war-and-disruption-should-be-avoided-global-priority-to-restore-normalcy-fm-sitharaman-456941-2024-12-11
Cybercriminals Impersonate Dubai Police to Defraud Consumers in the UAE – Smishing Triad in Action,Resecurity uncovered a large-scale fraud campaign in the UAE where scammers impersonate law enforcement to target consumers. Resecurity has identified a wide-scale fraudulent campaign targeting consumers in the UAE by impersonating law enforcement. Victims ar…,"Cybercriminals Impersonate Dubai Police to Defraud Consumers in the UAE - Smishing Triad in Action
 | U.S. CISA adds Microsoft Windows CLFS driver flaw to its Known Exploited Vulnerabilities catalog… [+122526 chars]",2024-12-11T06:37:41Z,Securityaffairs.com,https://securityaffairs.com/171859/cyber-crime/smishing-triad-cybercriminals-impersonate-dubai-police.html
"[Latest] Global Handyman Service Market Size/Share Worth USD 1,579.14 Million by 2033 at a 16.5% CAGR: Custom Market Insights (Analysis, Outlook, Leaders, Report, Trends, Forecast, Segmentation, Growth, Growth Rate, Value)","[220+ Pages Latest Report] According to a market research study published by Custom Market Insights, the demand analysis of Global Handyman Service Market size & share revenue was valued at approximately USD 390.34 Million in 2023 and is expected to reach USD…","Austin, TX, USA, Dec. 11, 2024 (GLOBE NEWSWIRE) -- Custom Market Insights has published a new research report titled Handyman Service Market Size, Trends and Insights By Deployment (Online, Offline),… [+24296 chars]",2024-12-11T06:30:00Z,GlobeNewswire,https://www.globenewswire.com/news-release/2024/12/11/2995077/0/en/Latest-Global-Handyman-Service-Market-Size-Share-Worth-USD-1-579-14-Million-by-2033-at-a-16-5-CAGR-Custom-Market-Insights-Analysis-Outlook-Leaders-Report-Trends-Forecast-Segmentati.html
"Inflation major challenge globally, no country can tackle it in isolation: Nirmala Sitharaman","Finance Minister Nirmala Sitharaman addressed the CII Global Economic Policy Forum, highlighting inflation as a global challenge requiring collective action.  While India's retail inflation likely eased in November due to moderating vegetable prices, the RBI …","Finance Minister Nirmala Sitharaman while addressing the CII Global Economic Policy Forum said that inflation continues to be a major challenge for countries globally , adding that the problem cannot… [+2399 chars]",2024-12-11T05:08:21Z,The Times of India,https://economictimes.indiatimes.com/news/economy/indicators/inflation-major-challenge-globally-no-country-can-tackle-it-in-isolation-nirmala-sitharaman/articleshow/116198157.cms
Xi readies bargaining chips for US trade war After Biden curbs,"China showcased new trade war tools in response to US chip restrictions.  Beijing launched probes, banned exports, and signaled economic support, demonstrating a calculated retaliation strategy while aiming to minimize economic disruption.",China got a head start on a looming trade war with the US by showcasing a new range of tools its prepared to use if Donald Trump makes good on his threat to punish the worlds second-biggest economy w… [+6581 chars],2024-12-11T03:30:31Z,The Times of India,https://economictimes.indiatimes.com/news/international/business/xi-readies-bargaining-chips-for-us-trade-war-after-biden-curbs/articleshow/116194848.cms
